codigo,Anho,Clasificacion,Empresa,Ingresos
1,1955,1,General Motors,9823.5
2,1955,2,Exxon Mobil,5661.4
3,1955,3,U.S. Steel,3250.4
4,1955,4,General Electric,2959.1
5,1955,5,Esmark,2510.8
6,1955,6,Chrysler,2071.6
7,1955,7,Armour,2056.1
8,1955,8,Gulf Oil,1705.3
9,1955,9,Mobil,1703.6
10,1955,10,DuPont,1687.7
11,1955,11,Amoco,1667.4
12,1955,12,Bethlehem Steel,1660.3
13,1955,13,CBS,1631.0
14,1955,14,Texaco,1574.4
15,1955,15,AT&T Technologies,1526.2
16,1955,16,Shell Oil,1312.1
17,1955,17,Kraft,1210.3
18,1955,18,ChevronTexaco,1113.3
19,1955,19,Goodyear Tire & Rubber,1090.1
20,1955,20,Boeing,1033.2
21,1955,21,Sinclair Oil,1021.5
22,1955,22,Navistar International,994.1
23,1955,23,RCA,941.0
24,1955,24,Union Carbide,923.7
25,1955,25,Firestone Tire & Rubber,916.0
26,1955,26,Douglas Aircraft,915.2
27,1955,27,Procter & Gamble,911.0
28,1955,28,Republic Steel,846.3
29,1955,29,Citgo Petroleum,813.2
30,1955,30,ConocoPhillips,794.6
31,1955,31,General Foods,783.0
32,1955,32,Uniroyal,782.6
33,1955,33,Borden Chemical,776.8
34,1955,34,Lockheed Martin,732.9
35,1955,35,Alcoa,708.3
36,1955,36,International Paper,681.2
37,1955,37,Wilson,680.5
38,1955,38,Sunoco,659.5
39,1955,39,United Technologies,654.2
40,1955,40,American Can,652.4
41,1955,41,General Dynamics,648.6
42,1955,42,Rockwell Automation,645.8
43,1955,43,Eastman Kodak,633.5
44,1955,44,Goodrich,630.7
45,1955,45,Continental Group,616.2
46,1955,46,Bendix,607.7
47,1955,47,Atlantic Richfield,596.2
48,1955,48,Fortune Brands,533.1
49,1955,49,Ryerson Tull,532.0
50,1955,50,ARMCO,530.8
51,1955,51,Honeywell Intl.,519.7
52,1955,52,AMAX,509.5
53,1955,53,Conoco,500.1
54,1955,54,Allis-Chalmers,492.9
55,1955,55,Jones & Laughlin Steel,492.9
56,1955,56,General Mills,487.6
57,1955,57,National Intergroup,484.1
58,1955,58,Curtiss-Wright,475.1
59,1955,59,Olin,470.1
60,1955,60,Asarco,466.8
61,1955,61,Intl. Business Machines,461.4
62,1955,62,Anaconda,461.1
63,1955,63,Tidewater Oil,459.0
64,1955,64,Cudahy,454.8
